B_Markers	BasalEPI_Markers	CD4T_Markers	CD8T_Markers	cDC_Markers	CEP_Markers	EOS_Markers	gdT_Markers	GOB_Markers	MAC_Markers	MAST_Markers	MHCIIEPI_Markers	NEU_Markers	NK_Markers	pDC_Markers	proliferating_CD8T_Markers	Squamous_Markers
MS4A1	SPRR2F	ICOS	CD3D	CD86	LRRIQ1	CLC	KLRD1	MUC5AC	CD300E	CPA3	PRSS23	FPR2	CD96	MAP1A	MKI67	TMPRSS2
CD79A	SERPINB4	CD3D	CD8A	HLA-DQB2	C20orf85	ADORA3	GNLY	ERN2	CD163	GATA2	CYP4B1	KCNJ15	TRBC2	JCHAIN	RRM2	RPTN
CD19	KLK13	CD28	GZMA	AXL	DNAH12	IL1RL1	IL2RB	ALDH3A1	MSR1	HDC	CXCL17	CXCR1	CD2	LILRA4	KIAA0101	TMPRSS11E
PAX5	KLK7	TRAC	CD3G	HLA-DOA	PIFO	VSTM1	KLRK1	ADH1C	VCAN	TPSAB1	KRT8	LILRB3	CCL5	SPIB	TYMS	NCCRP1
CD79B	CLCA4	CD6	TRAC	SPIB	ZBBX	GAPT	GZMA	BPIFB1	SDS	TPSB2	AGR2	TNFRSF10C	CD3D	PTPRS	NCAPG	PRSS8
CD22	SPRR2E	CTLA4	CD6	VASH1	RSPH1	PRSS33	GZMH	FER1L6	OLR1	MS4A2	MAL2	TLR2	GIMAP7	GAS6	TOP2A	SCEL
TNFRSF13B	SPRR2D	LCK	CD96	CLIC2	TMEM190	FHL3	PRF1	CP	CD86	GCSAML	NTS	FCAR	LCK	MPEG1	CDT1	CDKN2B
BANK1	TMPRSS11D	CD3E	CXCR6	LILRB4	DNALI1	CD300LF	NKG7	CCDC80	TGFBI	HPGDS	GABRP	VNN2	KLRK1	LILRB4	CCNA2	KRT80
FCRL5	KRT16	BCL11B	THEMIS	CPVL	ZMYND10	SIGLEC10	TRDC	PRSS23	FCN1	IL17RB	ASS1	CLEC4E	GZMA	PALD1	NCAPH	TMPRSS11D
MEF2C	FMO2	CD2	KLRK1	MS4A7	TPPP3	CCR3	CTSW	TMC5	CCL2	TPSD1	S100A14	CXCR2	ZAP70	TLR7	BIRC5	MAL
HLA-DOA	S100A7	ITK	CD2	HLA-DQA1	ARMC3	FCGR2B	CD247	SELENBP1	MAFB	CTTNBP2	ADH1C	PROK2	CD247	KRT5	CLSPN	GCNT3
BHLHE41	TMPRSS11A	TRBC2	LCK	GRASP	CDHR3	SIGLEC8	TIGIT	ARFGEF3	SIGLEC1	NTRK1	HRASLS2	TREM1	CD8A	TGFBI	TK1	ALDH1A3
TLR10	TMPRSS11E	GIMAP7	CCL5	GAS6	DNAH9	ALOX15	FGFBP2	FAM3D	LILRB1	IL1RL1	ADH7	DYSF	IL2RB	BCL11A	KIF11	SPNS2
CCR6	KLK6	ZAP70	ITGA1	SLC8A1	SNTN	CEBPE	CCL5	PIGR	SLC7A7	KIT	PIGR	MEFV	SH2D1A	IRF4	CENPF	SDC1
CXCR5	KRT78	CD3G	CD8B	ALDH2	C9orf24	P2RY14	EOMES	SYT8	LRP1	AKAP12	S100A16	HCAR2	PTPRCAP	IRF8	GZMA	SPINK5
SPIB	KLK8	CD5	IL2RB		HYDIN	LPCAT2	SAMD3	UGT2A2	SLC8A1	DLC1	FAM3D	MMP25	SPOCK2	SERPINF1	TRAC	PITX1
HLA-DOB	NCCRP1	SPOCK2	TRBC2	IL4I1	CFAP43	CYBB	CD96	CYP2F1	LILRA3	PTGS1	CP	TNFAIP6	CD6	OPN3	IL2RB	C6orf132
POU2AF1	SPRR1B	TRAT1	PRF1	EPB41L3	C5orf49	PSTPIP2	CD7	SLC44A4	MS4A7	SLC45A3	DUOXA2	CR1	PRF1	GZMB	BUB1	CEACAM6
HVCN1	ALDH1A3	GIMAP1-GIMAP5	CD3E	HLA-DRB5	CFAP100	ADGRE1	SLA2	AGR2	CSF1R	ADCYAP1	AQP5	CREB5	IL32	SMPD3	CDCA5	EHF
DENND5B	KLK10	MAF	ZAP70	TLR10	DRC1	C3AR1	TGFBR3	ADIRF	CCL8	MAOB	RAB25	CSF3R	IKZF3	TSPAN13	CHEK1	MTUS1
FCMR	SERPINB3	CD247	GPR171	MEF2C	CCDC39	RGS18	KLRC1	VSIG2	CTSL	C1orf186	FOXA1	DGAT2	CD7	PLD4	TPX2	PCDH1
FCRL1	SPRR2B	IL32	GIMAP7	HLA-DMB	SPAG17	PADI2	GZMB	ST6GALNAC1	KCTD12	RGS13	ATP10B	MGAM	BCL11B	VASH2	CD8A	TSPAN6
CD40	CXCL6	IL2RB	ITK	LY86	DNAH6	CD300LB	S1PR5	MLPH	RGL1	STXBP6	TSPAN1	HCK	GPR171	TCF4	CDK1	KLK7
IRF8	LYPD3	RASGRP1	CD247	CCDC88A	RSPH4A	IDO1	KLRF1	ABCA13	EPB41L3	KCNH2	UGT2A2	MCEMP1	TNFRSF10C	SHD	CD2	ECM1
LY86	A2ML1	GPRIN3	BCL11B	TBC1D9	CFAP46	CD101	SH2D2A	ADH7	LHFPL2	TMEM176B	MGST1	AQP9	RASGRP1	P2RY6	FAM111B	PTPN3
WDFY4	KRT6B	CD96	NLRC3	DPYSL2	FAM92B	ASB2	CST7	C19orf33	CPVL	OSBPL6	KRT4	ADGRG3	KLRB1	WDFY4	ICOS	AZGP1
PTPRCAP	PDZK1IP1	GIMAP1	SPOCK2	LILRB1	C6orf118	CSF1	ZAP70	SCNN1A	LILRB4	CADPS	GALNT5	PILRA	CXCR1	SULF2	NUSAP1	SASH1
TSPAN33	RHCG	PTPRCAP	ABCB1	SULF2	ENKUR	CCL4	SH2D1B	TFCP2L1	MS4A4A	FERMT2	MISP	IL1R2	CXCR2	MEF2C	CD3D	ITGB8
SCIMP	KRT17	CXCR6	SH2D1A	FAM49A	CFAP157	TMIGD3	IKZF3	MSLN	FAM26F	LAX1	CYP2F1	FCGR2A	ABCB1	LDLRAD4	SHCBP1	TRIM2
TNFRSF13C	TMPRSS2	IKZF3	IKZF3	LYZ	DLEC1	CCDC146	CD2	AKR1C2	CXCL10	PMP22	F3	C5AR1	NLRC3	RNASE6	PRF1	PRSS22
HLA-DQA1	PLAT	FCMR	TIGIT	TGFBI	MNS1	LAMP3	XCL2	KRT18	MS4A6A	HPGD	A4GALT	SLC11A1	IL7R	CYBB	FOXM1	HSPB8
POU2F2	SPINK5	NLRC3	IL7R	NRARP	DNAH5	THBS1	CD8A	CXCL17	CYBB	ENPP3	AKR1C2	HCAR3	SLA2	SLC15A4	CTLA4	LIPH
FCRL4	SPRR2A	LAT	NKG7	CD93	CCDC113	SIRPA	NCAM1	MTUS1	FAM20A	TESPA1	MYH14	CEACAM3	LILRB3	CCDC88A	AURKB	MFSD4
CCR7	SPRR1A	S1PR1	PTPRCAP	HLA-DQB1	CCDC40	FGL2	FASLG	MECOM	STAB1	ADAM12	SOX2	SLC25A37	TREM1	CD4	TRBC2	MYZAP
FCRLA	SDC1	ITM2A	IL32	ADAM19	ERICH3	CFD	KIR2DL4	SLC4A11	MPEG1	DCBLD2	FGFBP1	IL18RAP	CD3E	SEMA3C	MYBL2	TMPRSS11B
IKZF3	PRSS27	CD4	LAT	PLXDC2	CDHR4	PTGDR2	TBX21	BCAS1	LYZ	SIGLEC6	NOS2	FCGR3A	FPR2	HLA-DOA	ZWINT	MUC21
COBLL1	SCEL	GIMAP6	GIMAP6	GPR183	DNAH7	CREG1	KLRC3	GSTA1	C1QA	SLC24A3	GNAI1	TMEM71	TLR8	MZB1	MCM10	CAMK2N1
BLK	KRT5	FYN	GZMB	SCIMP	CTGF	SLC29A1	TRBC2	NEBL	AIF1	VWA5A	EPS8	SPI1	TNFAIP6	DPYSL2	IL32	PPL
ADRBK2	TMC5	PRKCQ	GZMH	LILRA5	DNAH11	ADGRE3	MYBL1	LAMA5	CD14	PROM1	MECOM	LY96	CEACAM3	ITM2C	GINS2	SCNN1A
BCL11A	CDKN2B	GIMAP4	GIMAP1-GIMAP5	WDFY4	SPEF1	FAM26F	TXK	GALNT5	C1QB	TNFRSF9	C19orf33	SIGLEC5	GZMB	EGLN3	MCM2	PVRL4
TOX	ATP12A	CD52	RASGRP1	IRF8	VWA3A	GFOD1	MATK	TCEA3	RASSF4	SCG2	CCDC80	GCA	CD3G	APP	HIST1H1B	CEACAM5
HLA-DQA2	KRT6A	TNFRSF4	TRGC2	TTYH2	LDLRAD1	APOBR	XCL1	ARHGEF28	IL4I1	SLC18A2	FXYD3	GLT1D1	FYN	MYBL2	KIF4A	CTSV
CLECL1	CNFN	TNFRSF25	KLRD1	ARHGAP31	DNAH3	HK3	PTGER2	TACC2	EMILIN2	WWC2	IGFBP3	TLR4	TRAC	GPR183	FANCI	GPRC5A
LY9	DSG3	IL7R	CD5	MCOLN2	FAM183A	H3N2	LCK	CYP2B6	LAIR1	PTPRB	IL19	IGSF6	MCEMP1	CLEC4C	CASC5	ADGRF1
DNAH8	PRSS3	GATA3	SLAMF6	HLA-DPA1	TEKT1	DACH1	ITK	MAL2	FPR3	CHDH	SERPINB3	SERPINA1	KLRD1	TNFRSF21	IFNG	MYO5B
PARP15	CEACAM7	ETS1	PRKCQ	HLA-DPB1	CCDC170	PLIN2	CCL4	ATP10B	TCN2	TAL1	GPX2	MME	ITK	GRASP	CCL5	FUT3
HLA-DMB	FAM83A	LAX1	CD7	ATF5	MAP3K19	SLC38A5	ADGRG1	PLCB4	DAB2	PRG2	CHL1	ITGAX	SAMD3	PACSIN1	ASPM	SPINT1
MACROD2	GJB2	GPR171	KLRC1	THBD	SPAG6	LRRC25	IFNG	MUC16	LILRB2	RAB32	GGT6	FCGR1B	CREB5	C12orf75	GZMB	PRSS27
PKIG	LY6D	CCR5	GPRIN3	ABI3	C11orf88	RCSD1	FYN	AQP5	RAB20	ABCC4	CX3CL1	LRRK2	MATK	PHEX	BRCA1	FER1L6
SLC2A6	ITGA2	PDCD1	CCR5	EMILIN2	SPATA18	KCNJ2	ABCB1	SCGB3A1	MMP19	NT5DC2	BMP3	RGS18	VNN2	LGMN	HELLS	AQP5

